迈皋桥,83,良,臭氧1小时,29,60,0.7,28,186,118,12
草场门,93,良,臭氧1小时,35,_,0.6,15,194,136,11
山西路,84,良,臭氧1小时,30,59,0.3,12,187,128,5
中华门,70,良,臭氧1小时,18,35,1.1,14,176,120,9
瑞金路,46,优,_,31,41,0.9,13,146,95,11
玄武湖,73,良,臭氧1小时,25,38,1.0,20,178,128,12
浦口,85,良,臭氧1小时,29,53,0.6,20,188,114,9
奥体中心,60,良,臭氧1小时,36,49,1.0,17,168,112,14
仙林大学城,48,优,_,22,48,0.6,13,142,104,7
